Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|DGRO|iShares Core Dividend Growth ETF|P| |Y|100|N||DGRO|DGRO|N
Y|DGRS|WisdomTree U.S. SmallCap Quality Dividend Growth Fund|Q|G|Y|100|N|N||DGRS|N
Y|DGRW|WisdomTree U.S. Quality Dividend Growth Fund|Q|G|Y|100|N|N||DGRW|N
Y|DGS|WisdomTree Emerging Market SmallCap Fund|P| |Y|100|N||DGS|DGS|N
Y|DGSE|DGSE Companies, Inc. Common Stock|A| |N|100|N||DGSE|DGSE|N
Y|DGT|SPDR Global Dow ETF (based on The Global Dow)|P| |Y|100|N||DGT|DGT|N
Y|DGX|Quest Diagnostics Incorporated Common Stock|N| |N|100|N||DGX|DGX|N
Y|DGZ|DB Gold Short ETN due February 15, 2038|P| |N|100|N||DGZ|DGZ|N
Y|DHDG|WisdomTree Dynamic Currency Hedged International Quality Dividend Growth Fund|Z| |Y|100|N||DHDG|DHDG|N
Y|DHF|Dreyfus High Yield Strategies Fund Common Stock|N| |N|100|N||DHF|DHF|N
Y|DHG|Deutsche High Income Opportunities Fund, Inc  New Common Stock|N| |N|100|N||DHG|DHG|N
Y|DHI|D.R. Horton, Inc. Common Stock|N| |N|100|N||DHI|DHI|N
Y|DHIL|Diamond Hill Investment Group, Inc. - Class A Common Stock|Q|Q|N|100|N|N||DHIL|N
Y|DHR|Danaher Corporation Common Stock|N| |N|100|N||DHR|DHR|N
Y|DHS|WisdomTree High Dividend Fund|P| |Y|100|N||DHS|DHS|N
Y|DHT|DHT Holdings, Inc.|N| |N|100|N||DHT|DHT|N
Y|DHVW|Diamond Hill Valuation-Weighted 500 ETF|P| |Y|100|N||DHVW|DHVW|N
Y|DHX|DHI Group, Inc. Common Stock|N| |N|100|N||DHX|DHX|N
Y|DHXM|DHX Media Ltd. - Variable Voting Shares|Q|Q|N|100|N|N||DHXM|N
Y|DHY|Credit Suisse High Yield Bond Fund Common Stock|A| |N|100|N||DHY|DHY|N
Y|DIA|SPDR Dow Jones Industrial Average ETF|P| |Y|100|N||DIA|DIA|N
Y|DIAX|Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest|N| |N|100|N||DIAX|DIAX|N
Y|DIG|ProShares Ultra Oil & Gas|P| |Y|100|N||DIG|DIG|N
Y|DIM|WisdomTree International MidCap Dividend Fund|P| |Y|100|N||DIM|DIM|N
Y|DIN|DineEquity, Inc Common Stock|N| |N|100|N||DIN|DIN|N
Y|DIOD|Diodes Incorporated - Common Stock|Q|Q|N|100|N|N||DIOD|N
Y|DIRT|iPath Pure Beta Agriculture ETN|P| |N|100|N||DIRT|DIRT|N
Y|DIS|Walt Disney Company (The) Common Stock|N| |N|100|N||DIS|DIS|N
Y|DISCA|Discovery Communications, Inc. - Series A Common Stock|Q|Q|N|100|N|N||DISCA|N
Y|DISCB|Discovery Communications, Inc. - Series B Common Stock|Q|Q|N|100|N|N||DISCB|N
Y|DISCK|Discovery Communications, Inc. - Series C Common Stock|Q|Q|N|100|N|N||DISCK|N
Y|DISH|DISH Network Corporation - Class A Common Stock|Q|Q|N|100|N|N||DISH|N
Y|DIT|AMCON Distributing Company Common Stock|A| |N|100|N||DIT|DIT|N
Y|DIV|Global X Super Dividend ETF|P| |Y|100|N||DIV|DIV|N
Y|DIVA|QuantShares Hedged Dividend Income Fund|P| |Y|100|N||DIVA|DIVA|N
Y|DIVC|Citigroup Inc. C-Tracks ETN Miller/Howard Strategic Dividend Reinvestors Due 9/16/2014|P| |N|100|N||DIVC|DIVC|N
Y|DIVO|Amplify YieldShares CWP Dividend & Option Income ETF|Z| |Y|100|N||DIVO|DIVO|N
Y|DIVY|Realty Shares DIVS ETF|P| |Y|100|N||DIVY|DIVY|N
Y|DJCI|E-TRACS Linked to the Bloomberg Commodity Index Total Return due October 31, 2039|P| |N|100|N||DJCI|DJCI|N
Y|DJCO|Daily Journal Corp. (S.C.) - Common Stock|Q|S|N|100|N|N||DJCO|N
Y|DJD|Guggenheim Dow Jones Industrial Average Dividend ETF|P| |Y|100|N||DJD|DJD|N
Y|DJP|iPath Bloomberg Commodity Index Total Return ETN|P| |N|100|N||DJP|DJP|N
Y|DK|Delek US Holdings, Inc. Common Stock|N| |N|100|N||DK|DK|N
Y|DKL|Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests|N| |N|100|N||DKL|DKL|N
Y|DKS|Dick's Sporting Goods Inc Common Stock|N| |N|100|N||DKS|DKS|N
Y|DKT|Deutsch Bk Contingent Cap Tr V Tr Pfd Secs|N| |N|100|N||DKT|DKT|N
Y|DL|China Distance Education Holdings Limited American Depositary Shares|N| |N|100|N||DL|DL|N
Y|DLA|Delta Apparel, Inc. Common Stock|A| |N|100|N||DLA|DLA|N
Y|DLB|Dolby Laboratories Common Stock|N| |N|100|N||DLB|DLB|N
Y|DLBL|Barclays PLC - iPath US Treasury Long Bond Bull ETN|Q|G|N|100|N|N||DLBL|N
Y|DLBS|Barclays PLC - iPath US Treasury Long Bond Bear ETN|Q|G|N|100|N|N||DLBS|N
Y|DLHC|DLH Holdings Corp. - Common Stock|Q|S|N|100|N|N||DLHC|N
Y|DLN|WisdomTree LargeCap Dividend Fund|P| |Y|100|N||DLN|DLN|N
Y|DLNG|Dynagas LNG Partners LP Common Units|N| |N|100|N||DLNG|DLNG|N
Y|DLNG$A|Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units|N| |N|100|N||DLNGpA|DLNG-A|N
Y|DLPH|Delphi Automotive plc Ordinary Shares|N| |N|100|N||DLPH|DLPH|N
Y|DLR|Digital Realty Trust, Inc. Common Stock|N| |N|100|N||DLR|DLR|N
Y|DLR$G|Digital Realty Trust, Inc. Preferred Series G|N| |N|100|N||DLRpG|DLR-G|N
Y|DLR$H|Digital Realty Trust, Inc. Redeemable Preferred Stock Series H|N| |N|100|N||DLRpH|DLR-H|N
Y|DLR$I|Digital Realty Trust, Inc. 6.350% Series I Cumulative Redeemable Preferred Stock, par value $0.01 per share|N| |N|100|N||DLRpI|DLR-I|N
Y|DLS|WisdomTree International SmallCap Fund|P| |Y|100|N||DLS|DLS|N
Y|DLTH|Duluth Holdings Inc. - Class B Common Stock|Q|Q|N|100|N|N||DLTH|N
Y|DLTR|Dollar Tree, Inc. - Common Stock|Q|Q|N|100|N|N||DLTR|N
Y|DLX|Deluxe Corporation Common Stock|N| |N|100|N||DLX|DLX|N
Y|DM|Dominion Energy Midstream Partners, LP Common Units representing Limited Partner Interests|N| |N|100|N||DM|DM|N
Y|DMB|Dreyfus Municipal Bond Infrastructure Fund, Inc. Common Stock|N| |N|100|N||DMB|DMB|N
Y|DMF|Dreyfus Municipal Income, Inc. Common Stock|A| |N|100|N||DMF|DMF|N
Y|DMLP|Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests|Q|Q|N|100|N|N||DMLP|N
Y|DMO|Western Asset Mortgage Defined Opportunity Fund Inc Common Stock|N| |N|100|N||DMO|DMO|N
Y|DMPI|DelMar Pharmaceuticals, Inc. - Common Stock|Q|S|N|100|N|N||DMPI|N
Y|DMRC|Digimarc Corporation - Common Stock|Q|Q|N|100|N|N||DMRC|N
Y|DMTX|Dimension Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||DMTX|N
Y|DNB|Dun & Bradstreet Corporation (The) Common Stock|N| |N|100|N||DNB|DNB|N
Y|DNBF|DNB Financial Corp - Common Stock|Q|S|N|100|N|N||DNBF|N
Y|DNI|Dividend and Income Fund Common Stock|N| |N|100|N||DNI|DNI|N
Y|DNKN|Dunkin' Brands Group, Inc. - Common Stock|Q|Q|N|100|N|N||DNKN|N
Y|DNL|WisdomTree Global ex-US Quality Dividend Growth Fund|P| |Y|100|N||DNL|DNL|N
Y|DNN|Denison Mines Corp Ordinary Shares (Canada)|A| |N|100|N||DNN|DNN|N
Y|DNO|United States Short Oil Fund|P| |Y|100|N||DNO|DNO|N
Y|DNOW|NOW Inc. Common Stock|N| |N|100|N||DNOW|DNOW|N
Y|DNP|DNP Select Income Fund, Inc. Common Stock|N| |N|100|N||DNP|DNP|N
Y|DNR|Denbury Resources Inc. Common Stock|N| |N|100|N||DNR|DNR|N
Y|DO|Diamond Offshore Drilling, Inc. Common Stock|N| |N|100|N||DO|DO|N
Y|DOC|Physicians Realty Trust Common Shares of Beneficial Interest|N| |N|100|N||DOC|DOC|N
Y|DOD|Deutsche Bank AG ELEMENTS Dogs of the Dow Total Return Index Note ELEMENTS Dogs of the Dow Linked to the Dow Jones High Yield Select 10 Total Return Index due November 14, 2022|P| |N|100|N||DOD|DOD|N
Y|DOG|ProShares Short Dow30|P| |Y|100|N||DOG|DOG|N
Y|DOL|WisdomTree International LargeCap Dividend Fund|P| |Y|100|N||DOL|DOL|N
Y|DON|WisdomTree MidCap Dividend Fund|P| |Y|100|N||DON|DON|N
Y|DOO|WisdomTree International Dividend Top 100 Fund|P| |Y|100|N||DOO|DOO|N
Y|DOOR|Masonite International Corporation Ordinary Shares (Canada)|N| |N|100|N||DOOR|DOOR|N
Y|DORM|Dorman Products, Inc. - Common Stock|Q|Q|N|100|N|N||DORM|N
Y|DOV|Dover Corporation Common Stock|N| |N|100|N||DOV|DOV|N
Y|DOW|Dow Chemical Company (The) Common Stock|N| |N|100|N||DOW|DOW|N
Y|DOX|Amdocs Limited - Ordinary Shares|Q|Q|N|100|N|N||DOX|N
Y|DPG|Duff & Phelps Global Utility Income Fund Inc. Common Stock|N| |N|100|N||DPG|DPG|N
Y|DPK|Direxion Developed Markets Bear 3x Shares|P| |Y|100|N||DPK|DPK|N
Y|DPLO|Diplomat Pharmacy, Inc. Common Stock|N| |N|100|N||DPLO|DPLO|N
Y|DPS|Dr Pepper Snapple Group, Inc Dr Pepper Snapple Group, Inc  Common Stock|N| |N|100|N||DPS|DPS|N
Y|DPST|Direxion Daily Regional Banks Bull 3X Shares|P| |Y|100|N||DPST|DPST|N
Y|DPW|Digital Power Corporation Common Stock|A| |N|100|N||DPW|DPW|N
Y|DPZ|Domino's Pizza Inc Common Stock|N| |N|100|N||DPZ|DPZ|N
Y|DQ|DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares|N| |N|100|N||DQ|DQ|N
Y|DRA|Diversified Real Asset Income Fund Common Shares of Beneficial Interest|N| |N|100|N||DRA|DRA|N
Y|DRAD|Digirad Corporation - Common Stock|Q|G|N|100|N|N||DRAD|N
Y|DRAM|Dataram Corporation - Common Stock|Q|S|N|100|N|D||DRAM|N
Y|DRD|DRDGOLD Limited American Depositary Shares|N| |N|100|N||DRD|DRD|N
Y|DRE|Duke Realty Corporation Common Stock|N| |N|100|N||DRE|DRE|N
Y|DRH|Diamondrock Hospitality Company Common Stock|N| |N|100|N||DRH|DRH|N
Y|DRI|Darden Restaurants, Inc. Common Stock|N| |N|100|N||DRI|DRI|N
Y|DRIO|DarioHealth Corp. - Common Stock|Q|S|N|100|N|N||DRIO|N
Y|DRIOW|DarioHealth Corp. - Warrant|Q|S|N|100|N|N||DRIOW|N
Y|DRIP|Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 3X Shares|P| |Y|100|N||DRIP|DRIP|N
Y|DRN|Direxion Daily Real Estate Bull 3x Shares|P| |Y|100|N||DRN|DRN|N
Y|DRNA|Dicerna Pharmaceuticals, Inc. - Common Stock|Q|Q|N|100|N|N||DRNA|N
Y|DRQ|Dril-Quip, Inc. Common Stock|N| |N|100|N||DRQ|DRQ|N
Y|DRR|Market Vectors Double Short Euro ETN|P| |N|100|N||DRR|DRR|N
Y|DRRX|DURECT Corporation - Common Stock|Q|G|N|100|N|N||DRRX|N
Y|DRUA|Dominion Energy, Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076|N| |N|100|N||DRUA|DRUA|N
Y|DRV|Drexion Daily Real Estate Bear 3x Shares|P| |Y|100|N||DRV|DRV|N
Y|DRW|WisdomTree Global ex-US Real Estate Index|P| |Y|100|N||DRW|DRW|N
Y|DRWI|DragonWave Inc - Common Shares|Q|S|N|100|N|D||DRWI|N
Y|DRYS|DryShips Inc. - Common Stock|Q|S|N|100|N|N||DRYS|N
Y|DS|Drive Shack Inc.|N| |N|100|N||DS|DS|N
Y|DS$B|Drive Shack Inc. Preferred Series B|N| |N|100|N||DSpB|DS-B|N
Y|DS$C|Drive Shack Inc. Preferred Series C|N| |N|100|N||DSpC|DS-C|N
Y|DS$D|Drive Shack Inc. Pfd Ser D|N| |N|100|N||DSpD|DS-D|N
Y|DSE|Duff & Phelps Select Energy MLP Fund Inc. Common Stock|N| |N|100|N||DSE|DSE|N
Y|DSGX|The Descartes Systems Group Inc. - Common Stock|Q|Q|N|100|N|N||DSGX|N
Y|DSI|iShares MSCI KLD 400 Social ETF|P| |Y|100|N||DSI|DSI|N
Y|DSKE|Daseke, Inc. - Common Stock|Q|S|N|100|N|N||DSKE|N
Y|DSKEW|Daseke, Inc. - Warrant|Q|S|N|100|N|N||DSKEW|N
Y|DSL|DoubleLine Income Solutions Fund Common Shares of Beneficial Interests|N| |N|100|N||DSL|DSL|N
Y|DSLV|Credit Suisse AG - VelocityShares 3x Inverse Silver ETN|Q|G|N|100|N|N||DSLV|N
Y|DSM|Dreyfus Strategic Municipal Bond Fund, Inc. Common Stock|N| |N|100|N||DSM|DSM|N
Y|DSPG|DSP Group, Inc. - Common Stock|Q|Q|N|100|N|N||DSPG|N
Y|DSS|Document Security Systems, Inc. Common Stock|A| |N|100|N||DSS|DSS|N
Y|DST|DST Systems, Inc. Common Stock|N| |N|100|N||DST|DST|N
Y|DSU|Blackrock Debt Strategies Fund, Inc. Common Stock|N| |N|100|N||DSU|DSU|N
Y|DSUM|PowerShares Chinese Yuan Dim Sum Bond Portfolio|P| |Y|100|N||DSUM|DSUM|N
Y|DSW|DSW Inc. Common Stock|N| |N|100|N||DSW|DSW|N
Y|DSWL|Deswell Industries, Inc. - Common Shares|Q|G|N|100|N|N||DSWL|N
Y|DSX|Diana Shipping inc. common stock|N| |N|100|N||DSX|DSX|N
Y|DSX$B|Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands)|N| |N|100|N||DSXpB|DSX-B|N
Y|DSXN|Diana Shipping Inc. 8.50% Senior Notes due 2020|N| |N|100|N||DSXN|DSXN|N
Y|DTD|WisdomTree Total Dividend Fund|P| |Y|100|N||DTD|DTD|N
Y|DTE|DTE Energy Company Common Stock|N| |N|100|N||DTE|DTE|N
Y|DTEA|DAVIDsTEA Inc. - Common Stock|Q|G|N|100|N|N||DTEA|N
Y|DTF|DTF Tax-Free Income, Inc. Common Stock|N| |N|100|N||DTF|DTF|N
Y|DTH|WisdomTree International High Dividend Fund|P| |Y|100|N||DTH|DTH|N
Y|DTJ|DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076|N| |N|100|N||DTJ|DTJ|N
Y|DTK|Deutsche Bk Contingent Cap Tr III Tr Pfd Secs|N| |N|100|N||DTK|DTK|N
Y|DTLA$|Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock|N| |N|100|N||DTLAp|DTLA-|N
Y|DTN|WisdomTree Dividend Ex-Financials Fund|P| |Y|100|N||DTN|DTN|N
Y|DTO|DB Crude Oil Double Short ETN due June 1, 2038|P| |N|100|N||DTO|DTO|N
Y|DTQ|DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062|N| |N|100|N||DTQ|DTQ|N
Y|DTRM|Determine, Inc.  - Common Stock|Q|S|N|100|N|N||DTRM|N
Y|DTUL|Barclays PLC - iPath US Treasury 2 Yr Bull ETN|Q|G|N|100|N|N||DTUL|N
Y|DTUS|Barclays PLC - iPath US Treasury 2-year Bear ETN|Q|G|N|100|N|N||DTUS|N
Y|DTV|DTE Energy Company 2016 Corporate Units|N| |N|100|N||DTV|DTV|N
Y|DTY|DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076|N| |N|100|N||DTY|DTY|N
Y|DTYL|Barclays PLC - iPath US Treasury 10 Year Bull ETN|Q|G|N|100|N|N||DTYL|N
Y|DTYS|Barclays PLC - iPath US Treasury 10-year Bear ETN|Q|G|N|100|N|N||DTYS|N
Y|DUC|Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock|N| |N|100|N||DUC|DUC|N
Y|DUG|ProShares UltraShort Oil & Gas|P| |Y|100|N||DUG|DUG|N
Y|DUK|Duke Energy Corporation (Holding Company) Common Stock|N| |N|100|N||DUK|DUK|N
Y|DUKH|Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073|N| |N|100|N||DUKH|DUKH|N
Y|DULL|Direxion Funds ETF|P| |Y|100|N||DULL|DULL|N
Y|DUSA|Davis Select U.S. Equity ETF|Q|G|Y|100|N|N||DUSA|N
Y|DUSL|Direxion Daily Industrials Bull 3X Shares|P| |Y|100|N||DUSL|DUSL|N
Y|DUST|Direxion Daily Gold Miners Index Bear 3X Shares|P| |Y|100|N||DUST|DUST|N
Y|DVA|DaVita Inc. Common Stock|N| |N|100|N||DVA|DVA|N
Y|DVAX|Dynavax Technologies Corporation - Common Stock|Q|S|N|100|N|N||DVAX|N
Y|DVCR|Diversicare Healthcare Services Inc. - Common Stock|Q|S|N|100|N|N||DVCR|N
Y|DVD|Dover Motorsports, Inc. Common Stock|N| |N|100|N||DVD|DVD|N
Y|DVEM|WisdomTree Emerging Markets Dividend Fund|Z| |Y|100|N||DVEM|DVEM|N
Y|DVHL|ETRACS 2xLeveraged Diversified High Income ETN|P| |N|100|N||DVHL|DVHL|N
Y|DVMT|Dell Technologies Inc. Class V Common Stock|N| |N|100|N||DVMT|DVMT|N
Y|DVN|Devon Energy Corporation Common Stock|N| |N|100|N||DVN|DVN|N
Y|DVP|Deep Value ETF|P| |Y|100|N||DVP|DVP|N
Y|DVY|iShares Select Dividend ETF|P| |Y|100|N||DVY|DVY|N
Y|DVYA|iShares Asia / Pacific Dividend 30 Index Fund Exchange Traded Fund|P| |Y|100|N||DVYA|DVYA|N
Y|DVYE|iShares Emerging Markets Dividend Index Fund Exchange Traded Fund|P| |Y|100|N||DVYE|DVYE|N
Y|DVYL|ETRACS Monthly Pay 2x Leveraged Dow Jones Select Dividend Index ETN|P| |N|100|N||DVYL|DVYL|N
Y|DWAC|Elkhorn Commodity Rotation Strategy ETF|Q|G|Y|100|N|N||DWAC|N
Y|DWAQ|PowerShares DWA NASDAQ Momentum Portfolio|Q|G|Y|100|N|N||DWAQ|N
Y|DWAS|PowerShares DWA SmallCap Momentum Portfolio|Q|G|Y|100|N|N||DWAS|N
Y|DWAT|Arrow DWA Tactical ETF|Q|G|Y|100|N|N||DWAT|N
Y|DWCH|Datawatch Corporation - Common Stock|Q|S|N|100|N|N||DWCH|N
Y|DWFI|SPDR Dorsey Wright Fixed Income Allocation ETF|Q|G|Y|100|N|N||DWFI|N
Y|DWIN|PowerShares DWA Tactical Multi-Asset Income Portfolio|Q|G|Y|100|N|N||DWIN|N
Y|DWLD|Davis Select Worldwide ETF|Q|G|Y|100|N|N||DWLD|N
Y|DWLV|PowerShares DWA Momentum & Low Volatility Rotation Portfolio|Q|G|Y|100|N|N||DWLV|N
Y|DWM|WisdomTree International Equity Fund|P| |Y|100|N||DWM|DWM|N
Y|DWSN|Dawson Geophysical Company - Common Stock|Q|Q|N|100|N|N||DWSN|N
Y|DWT|VelocityShares 3x Inverse Crude Oil ETNs linked to the S&P GSCI Crude Oil Index ER|P| |Y|100|N||DWT|DWT|N
Y|DWTR|PowerShares DWA Tactical Sector Rotation Portfolio|Q|G|Y|100|N|N||DWTR|N
Y|DWX|SPDR S&P International Dividend ETF|P| |Y|100|N||DWX|DWX|N
Y|DX|Dynex Capital, Inc. Common Stock|N| |N|100|N||DX|DX|N
Y|DX$A|Dynex Capital, Inc. Preferred Stock Series A|N| |N|100|N||DXpA|DX-A|N
Y|DX$B|Dynex Capital, Inc. Preferred Series B|N| |N|100|N||DXpB|DX-B|N
Y|DXB|Deutsche Bk Contingent Cap TR II Tr Pfd Sec|N| |N|100|N||DXB|DXB|N
Y|DXC|DXC Technology Company Common Stock |N| |N|100|N||DXC|DXC|N
Y|DXCM|DexCom, Inc. - Common Stock|Q|Q|N|100|N|N||DXCM|N
Y|DXD|ProShares UltraShort Dow30|P| |Y|100|N||DXD|DXD|N
Y|DXGE|WisdomTree Germany Hedged Equity Fund|Q|G|Y|100|N|N||DXGE|N
Y|DXJ|WisdomTree Japan Hedged Equity Fund|P| |Y|100|N||DXJ|DXJ|N
Y|DXJC|WisdomTree Japan Hedged Capital Goods Fund|P| |Y|100|N||DXJC|DXJC|N
Y|DXJF|WisdomTree Japan Hedged Financials Fund|P| |Y|100|N||DXJF|DXJF|N
Y|DXJH|WisdomTree Japan Hedged Health Care Fund|P| |Y|100|N||DXJH|DXJH|N
Y|DXJR|WisdomTree Japan Hedged Real Estate Fund|P| |Y|100|N||DXJR|DXJR|N
Y|DXJS|WisdomTree Japan Hedged SmallCap Equity Fund|Q|G|Y|100|N|N||DXJS|N
Y|DXLG|Destination XL Group, Inc. - Common Stock|Q|Q|N|100|N|N||DXLG|N
Y|DXPE|DXP Enterprises, Inc. - Common Stock|Q|Q|N|100|N|N||DXPE|N
Y|DXPS|WisdomTree United Kingdom Hedged Equity Fund|Q|G|Y|100|N|N||DXPS|N
Y|DXR|Daxor Corporation Common Stock|A| |N|100|N||DXR|DXR|N
Y|DXTR|Dextera Surgical Inc. - Common Stock|Q|S|N|100|N|D||DXTR|N
Y|DXUS|WisdomTree Global ex-U.S. Hedged Dividend Fund|P| |Y|100|N||DXUS|DXUS|N
Y|DXYN|The Dixie Group, Inc. - Common Stock|Q|G|N|100|N|N||DXYN|N
Y|DY|Dycom Industries, Inc. Common Stock|N| |N|100|N||DY|DY|N
Y|DYB|WisdomTree Dynamic Bearish U.S. Equity Fund|Z| |Y|100|N||DYB|DYB|N
Y|DYLS|WisdomTree Dynamic Long/Short U.S. Equity Fund|Z| |Y|100|N||DYLS|DYLS|N
Y|DYN|Dynegy Inc. Common Stock|N| |N|100|N||DYN|DYN|N
Y|DYN$A|Dynegy Inc. Mandatory Preferred Convertible Series A%|N| |N|100|N||DYNpA|DYN-A|N
Y|DYN.A|Dynegy Inc. Warrants to purchase Common Stock (Expirig February 2, 2024)|N| |N|100|N||DYN/WS/A|DYN+A|N
Y|DYN.W|Dynegy Inc. Warrant expiring October 2, 2017|N| |N|100|N||DYN/WS|DYN+|N
Y|DYNC|Dynegy Inc. 7.00% Tangible Equity Units|N| |N|100|N||DYNC|DYNC|N
Y|DYNT|Dynatronics Corporation - Common Stock|Q|S|N|100|N|N||DYNT|N
Y|DYSL|Dynasil Corporation of America - Common Stock|Q|S|N|100|N|N||DYSL|N
Y|DYY|DB Commodity Double Long ETN due April 1, 2038|P| |N|100|N||DYY|DYY|N
Y|DZK|Direxion Developed Markets Bull 3x Shares|P| |Y|100|N||DZK|DZK|N
Y|DZSI|DASAN Zhone Solutions, Inc. - Common Stock|Q|S|N|100|N|E||DZSI|N
Y|DZZ|DB Gold Double Short ETN due February 15, 2038|P| |N|100|N||DZZ|DZZ|N
Y|E|ENI S.p.A. Common Stock|N| |N|100|N||E|E|N
Y|EA|Electronic Arts Inc. - Common Stock|Q|Q|N|100|N|N||EA|N
Y|EAB|Entergy Arkansas, Inc. First Mortgage Bonds, 4.90% Series Due December 1, 2052|N| |N|100|N||EAB|EAB|N
Y|EACQ|Easterly Acquisition Corp. - Common Stock|Q|S|N|100|N|D||EACQ|N
Y|EACQU|Easterly Acquisition Corp. - Unit|Q|S|N|100|N|D||EACQU|N
Y|EACQW|Easterly Acquisition Corp. - Warrant|Q|S|N|100|N|D||EACQW|N
Y|EAD|Wells Fargo Income Opportunities Fund Common Shares|A| |N|100|N||EAD|EAD|N
Y|EAE|Entergy Arkansas, Inc. First Mortgage Bonds, 4.75% Series due June 1, 2063|N| |N|100|N||EAE|EAE|N
Y|EAGL|Double Eagle Acquisition Corp. - Class A Ordinary Shares|Q|S|N|100|N|D||EAGL|N
Y|EAGLU|Double Eagle Acquisition Corp. - Unit|Q|S|N|100|N|N||EAGLU|N
Y|EAGLW|Double Eagle Acquisition Corp. - Warrant|Q|S|N|100|N|N||EAGLW|N
Y|EAI|Entergy Arkansas, Inc. First Mortgage Bonds, 4.875% Series Due September 1, 2066|N| |N|100|N||EAI|EAI|N
Y|EARN|Ellington Residential Mortgage REIT Common Shares of Beneficial Interest|N| |N|100|N||EARN|EARN|N
Y|EARS|Auris Medical Holding AG - Common Shares|Q|G|N|100|N|D||EARS|N
Y|EAT|Brinker International, Inc. Common Stock|N| |N|100|N||EAT|EAT|N
Y|EBAY|eBay Inc. - Common Stock|Q|Q|N|100|N|N||EBAY|N
Y|EBAYL|eBay Inc. - 6.0% Notes Due 2056|Q|Q|N|100|N|N||EBAYL|N
Y|EBF|Ennis, Inc. Common Stock|N| |N|100|N||EBF|EBF|N
Y|EBIO|Eleven Biotherapeutics, Inc. - Common Stock|Q|G|N|100|N|N||EBIO|N
Y|EBIX|Ebix, Inc. - Common Stock|Q|Q|N|100|N|N||EBIX|N
Y|EBMT|Eagle Bancorp Montana, Inc. - Common Stock|Q|G|N|100|N|N||EBMT|N
Y|EBND|SPDR Bloomberg Barclays Emerging Markets Local Bond ETF|P| |Y|100|N||EBND|EBND|N
Y|EBR|Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)|N| |N|100|N||EBR|EBR|N
Y|EBR.B|Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share)|N| |N|100|N||EBR/B|EBR.B|N
Y|EBS|Emergent Biosolutions, Inc. Common Stock|N| |N|100|N||EBS|EBS|N
Y|EBSB|Meridian Bancorp, Inc. - Common Stock|Q|Q|N|100|N|N||EBSB|N
Y|EBTC|Enterprise Bancorp Inc - Common Stock|Q|Q|N|100|N|N||EBTC|N
Y|EC|Ecopetrol S.A. American Depositary Shares|N| |N|100|N||EC|EC|N
Y|ECA|Encana Corporation|N| |N|100|N||ECA|ECA|N
Y|ECC|Eagle Point Credit Company Inc. Common Stock|N| |N|100|N||ECC|ECC|N
Y|ECCA|Eagle Point Credit Company Inc. Series A Term Preferred Stock due 2022|N| |N|100|N||ECCA|ECCA|N
Y|ECCB|Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026|N| |N|100|N||ECCB|ECCB|N
Y|ECCZ|Eagle Point Credit Company Inc. 7.00% Notes due 2020|N| |N|100|N||ECCZ|ECCZ|N
Y|ECF|Ellsworth Growth and Income Fund Ltd.|A| |N|100|N||ECF|ECF|N
Y|ECH|iShares MSCI Chile Capped Investable Market Index Fund|P| |Y|100|N||ECH|ECH|N
Y|ECHO|Echo Global Logistics, Inc. - Common Stock|Q|Q|N|100|N|N||ECHO|N
Y|ECL|Ecolab Inc. Common Stock|N| |N|100|N||ECL|ECL|N
Y|ECNS|iShares MSCI China Small-Cap ETF|P| |Y|100|N||ECNS|ECNS|N
Y|ECOL|US Ecology, Inc. - Common Stock|Q|Q|N|100|N|N||ECOL|N
Y|ECOM|ChannelAdvisor Corporation Common Stock|N| |N|100|N||ECOM|ECOM|N
Y|ECON|Columbia Emerging Markets Consumer ETF|P| |Y|100|N||ECON|ECON|N
Y|ECPG|Encore Capital Group Inc - Common Stock|Q|Q|N|100|N|N||ECPG|N
Y|ECR|Eclipse Resources Corporation Common Stock|N| |N|100|N||ECR|ECR|N
Y|ECT|ECA Marcellus Trust I Common Units of Beneficial Interest|N| |N|100|N||ECT|ECT|N
Y|ECYT|Endocyte, Inc. - Common Stock|Q|Q|N|100|N|N||ECYT|N
